text,label
list prod verified,read
I need every department whose status is closed,read
good afternoon what can you do!,casual
Please Update Noah to premium,write
change payment where age is 24,write
save it,write
cool,casual
Browse task with reference 302,read
save it,write
please can you new tables where age is 26 please,write
copy inv status active,write
Promote the supplier assigned to Benjamin,write
Namaste,casual
What's up,casual
okay,casual
go assign cust price 310,write
List employees updated last month,read
Which orders where status is paid please,read
Move profile status to cancelled,write
Please Deactivate Olivia to premium,write
interesting,casual
Display all payments,read
👍 Can you help?,casual
cool,casual
Look up every vendor updated this week,read
Insert all records marked paid,write
This is actually fun that's all for now.,casual
Insert location #8989,write
rename emp bob,write
got any acct duplicate,read
tell joke !!,casual
can you retrieve shipments created today!,read
update payment status to active,write
what happened to John?,read
can you archive payments named alex,write
Namaste Are you an AI?,casual
Retrieve tickets where status is verified please,read
Please archive every inactive asset before the end of the day.,write
Show me invoices with id 7044,read
please clear employee please,write
😂 ??,casual
Pull up asset with reference 172,read
UH,casual
thanks again,casual
Create another payment using the same information as the previous one.,write
what is sql,casual
Delete client price to 2065,write
List rows where status is inactive,read
Please Archive Ava to premium,write
can you destroy subscription with id 517,write
Replace the outdated information in this asset with the latest details.,write
get customer please,read
I'm looking for all products,read
assign account to Bob,write
thanks,casual
NEW LOGS WHERE AGE IS 47,write
rename John to Olivia,write
EXPLAIN SQL,casual
Could you tell me how many accounts are currently active?,read
Rename the project belonging to Liam because the spelling is incorrect.,write
can you help me!,casual
i need to see shipments from last week,read
what's the status of subscription? please,read
can u update customer price 310,write
Could you show all records,read
Merge Amelia's status,write
That's interesting I'm still learning.,casual
Delete duplicate invoices,write
Please Restore the subscription with id 8602,write
need subscription older than 30 days,read
I need a complete list of archived orders because we're reviewing old data.,read
please delete product email to liam@example.com please,write
What is PostgreSQL?,casual
can you find subscription with status = pending,read
Howdy Can you help?,casual
where is user email john@example.com,read
sup,casual
good afternoon,casual
Please revise ownership of the inventory to Mason,write
what's the status of order? please,read
search emp duplicate,read
give me log named emma,read
hiya,casual
you are stupid please,casual
delte record old one,write
go insert usr status inactive,write
i need to see invoice named ava,read
Move invoice price to 2433,write
teach me indexing pls,casual
delete the duplicate ticket,write
please can you drop user,write
Add all clients marked pending,write
Please Add client status to cancelled,write
fix everything,write
tell me a joke,casual
ok pls,casual
i'm learning sql,casual
Move Sophia's address,write
Deactivate every expired order immediately.,write
Just checking things out ,casual
Activate invoice price to 1697,write
do we still have project for Noah? please,read
Could you check if there are duplicate devices in the system?,read
Which documents were modified yesterday? please,read
🤔,casual
Could you correct the vendor assigned to daniel,write
NICE,casual
i'm just testing,casual
please can you remove shipment status to active,write
This interface looks clean How are you?,casual
Could you create duplicate leads,write
save it,write
List transactions where status is archived,read
duplicate order status inactive,write
restore prod bob,write
Remove account price to 2529,write
Please Move Emma's phone number,write
Could you tell me how many invoices are currently active?,read
remove report permanently,write
List members updated this month,read
😊,casual
lookup users duplicate,read
I need a complete list of archived payments because we're reviewing old data.,read
Demote duplicate contracts,write
Insert all customers marked paid,write
Create the customer with id 5440,write
show me the previous report,read
modify user for david,write
Show me all records please,read
PLEASE CLEAR EMPLOYEES STATUS TO PAID please,write
show only archived report #6786,read
uh,casual
